ALL                                             263511
DATETIME                                             0
AFT DRAFT                                          229
FORE DRAFT                                         219
FUEL OIL SUPPLY TEMPERATURE                        180
FUEL OIL  RETURN TEMPERATURE                       191
FUEL OIL FLOW RETURN                               180
FUEL OIL FLOW SUPPLY                               179
HEADING                                            814
INTERMEDIATE SHAFT BEARING TEMP                   2101
LIST                                               190
LONGITUDINAL GROUND SPEED                          870
LONGITUDINAL WATER SPEED                          1218
MAIN ENGINE  SCAVENGE AIR PRESSURE                 226
PROPELLER SHAFT REVOLUTIONS                        191
MAGNETIC COURSE OVER GROUND                        821-
MAGNETIC VARIATION                                 764-
ME AXIAL VIBRATION                                2165
ME FUEL CONSUMPTION                                283+
FUEL OIL INLET PRESSURE                           1105
FUEL OIL INLET TEMPERATURE                        1682
MAIN ENGINE FUEL INDEX                            1105-
ME RPM                                            2101
MAIN ENGINE SCAVENGE AIR RECEIVER TEMPERATURE     2056-
TURBOCHARGER EXH EXH GAS INLET TEMP               1832
TURBOCHARGER EXH EXH GAS OUTLET TEMP              1842
TURBOCHARGER LUB OIL INLET PRESSURE               2164-
TURBOCHARGER LUB OIL INLET TEMPERATURE            1565-
TURBOCHARGER SPEED                                1105
THRUST BEARING TEMPERATURE                        2101
MIDDLE DRAFT P                                     219
MIDDLE DRAFT S                                     229
RATE OF TURN                                       814
SHAFT POWER                                        255
PROPELLER SHAFT THRUST                             254
PROPELLER SHAFT TORQUE                             262
SPEED OVER GROUND                                  277
SPEED THROUGH WATER                                281
STARBOARD RUDDER SENSOR                            889
STERN TUBE BEARING TEMPERATURE                    2101
THRUST MAIN BEARING TEMP                          1115
TRANSVERSE GROUND SPEED                            870
TRIM                                               189
COURSE OVER GROUND                                 844
WATER DEPTH                                      85361*
WIND ANGLE                                         897
WIND SPEED                                         838
AIR PRESSURE AT SEA LEVEL                        60063*
AIR TEMPERATURE AT 10M                           60064*
CURRENT DIRECTION                                78528*
CURRENT SPEED                                    78528*
EASTWARD CURRENT                                 56625*
WAVE HEIGHT                                      77805*
WAVE DIRECTION                                   77805*
WAVE LENGTH                                      77805*
NORTHWARD CURRENT                                56625*
SEA TEMPERATURE                                  86585*
SIGNIFICANT WAVE HEIGHT                          77805*
SWELL WAVE HEIGHT                                77805*
SWELL WAVE DIRECTION                             77805*
SWELL WAVE LENGTH                                78390*
SWELL SIGNIFICANT WAVE HEIGHT                    77805*
WIND RELATIVE DIRECTION                          50349*
WIND RELATIVE SPEED                              50349*
WINDWAVE WAVE HEIGHT                             74376*
WINDWAVE WAVE DIRECTION                          77805*
WINDWAVE WAVE LENGTH                             77805*
WINDWAVE WAVE HEIGHT.1                           77805*
dtype: int64
